,home_won
225023,1
91676,0
286290,1
387843,0
163714,0
205624,1
176247,0
420707,0
57592,1
215394,1
159860,1
162854,1
285493,1
287044,1
294625,0
267195,0
121428,1
292037,1
119115,1
71168,1
151912,1
64704,1
46464,1
399694,1
117078,0
32221,1
195707,0
47530,1
300313,1
415885,0
78788,0
379164,1
404819,1
262294,0
167214,1
310004,0
27320,1
389417,1
105659,1
47623,0
157758,1
97967,0
165067,0
272086,1
251776,0
216843,0
40995,0
209295,1
400460,0
140724,0
191005,1
165410,0
162538,1
14399,0
101276,0
300741,0
225241,1
342096,1
50201,0
18069,1
337816,1
276360,0
412945,1
226726,0
19683,0
395754,0
369568,1
241778,0
10147,0
228974,1
283820,1
19119,1
258097,0
312211,0
172523,1
208541,1
130036,0
187767,0
158520,1
213555,1
191053,0
372268,1
122574,1
149021,0
12228,0
282526,1
130297,1
166294,1
361491,1
249204,1
347751,1
371635,1
297903,1
60523,0
402314,1
106583,1
34650,1
92518,1
191765,0
31921,0
292752,1
33967,0
326101,1
146057,1
183505,0
107029,1
241464,0
385490,1
90235,0
154207,0
67706,1
86135,1
358809,0
165449,0
171545,1
99115,1
1147,0
249815,0
262467,0
263124,0
242216,1
267532,0
278255,0
91540,1
146109,1
364656,1
212287,0
229239,0
254057,0
367020,0
189514,1
41952,1
166019,0
289702,0
252141,0
122025,1
301752,0
243934,1
171693,1
284454,1
394726,1
26104,0
102402,1
231457,1
320789,0
362444,1
379858,1
317278,0
320497,1
145108,1
181433,0
280093,1
57967,0
284587,0
50216,0
26696,0
343927,1
49830,1
225358,0
44231,1
398603,0
176758,1
371042,0
52596,1
109707,1
57306,1
407032,0
133682,0
270031,0
114677,0
248455,1
213442,0
323886,0
144654,0
36970,0
230380,1
334356,1
124385,0
285531,0
289176,1
164548,1
340099,1
169057,1
353570,1
151404,1
416552,1
373535,0
26614,0
376299,1
420666,0
55058,1
62625,1
104807,0
275902,1
181722,0
106610,1
8772,1
119530,0
347286,0
284600,0
181032,1
329453,1
348567,1
17990,1
347018,1
159202,0
393970,0
27075,1
299653,0
61067,0
406182,0
117362,1
75863,1
169426,0
266540,0
390100,0
330654,1
407710,1
348571,1
390765,0
142984,0
274831,0
50988,0
82341,1
51810,0
25049,1
404105,1
230998,1
75734,1
290577,1
57943,0
233271,0
296578,0
347299,0
29901,0
80891,0
173830,1
353791,0
167390,1
166439,1
3342,0
290922,1
68910,0
89868,1
45190,0
247381,0
265713,1
85794,0
66709,1
150166,0
150402,1
75544,1
375641,1
41460,1
99974,1
328233,1
16763,0
366704,1
394527,0
33208,1
419722,0
331566,0
409580,1
112515,1
334382,1
266855,1
11074,1
343193,1
336317,0
351222,1
328525,1
91773,1
352922,1
191935,1
178093,0
260918,1
238513,1
61848,0
106034,1
272629,1
62495,0
407049,0
208940,1
115486,1
110480,1
413722,1
284731,0
173694,1
19676,0
156386,1
142947,0
291836,1
11689,1
333613,1
119481,0
296538,1
159715,0
361948,1
68568,0
196229,1
236433,1
367761,0
199462,1
39502,0
38694,1
376160,1
169150,1
82201,1
371536,1
204265,0
162037,1
334013,1
103187,0
21066,0
348915,0
230526,0
31179,0
183097,1
134787,1
280082,1
393873,0
414254,0
262420,0
131395,1
289289,1
15031,0
338563,1
50015,1
407600,0
45182,0
65887,0
349539,0
97228,1
24654,0
314615,0
412953,1
227323,0
316974,1
396433,0
53521,0
116595,1
151740,1
360159,1
5265,0
265284,1
223188,0
58399,1
284752,0
293567,1
281664,1
246109,1
129324,1
170703,1
33141,0
91880,1
44933,0
103377,0
413145,0
182500,1
155565,1
354234,1
314653,0
344271,1
44129,0
21905,1
29329,1
12857,0
156068,0
207633,1
378016,0
232732,0
283439,1
292459,0
97034,1
278498,1
34071,1
35674,1
4264,1
149692,1
177054,1
188700,0
150954,1
334925,1
394039,0
287473,0
61935,1
273266,1
406949,0
250000,1
73778,1
120284,1
23399,0
311724,0
349857,1
7079,1
19711,0
48511,1
419604,1
129568,1
49007,0
384736,0
297330,1
338377,1
409406,1
191121,0
167493,0
265312,0
229858,1
83440,0
68330,0
152978,1
127037,1
329222,1
205688,1
275679,1
287193,1
291572,1
315282,1
390076,0
396216,0
202099,0
171526,1
132831,0
132073,1
293764,1
230086,0
62333,1
409197,1
156022,0
74008,1
281465,1
359601,1
169009,1
342229,1
289305,1
105943,1
181165,1
12415,1
264849,1
215048,1
207247,0
262115,1
265550,1
112399,0
206451,1
291002,1
159342,1
385824,1
393922,0
358504,1
396652,0
144663,0
14982,0
396155,0
220031,0
143792,0
42771,0
291547,1
263793,0
188428,0
319198,0
240164,0
22713,0
199103,0
324534,1
213032,1
281063,1
76960,0
107746,0
234481,1
359577,1
134720,1
26974,1
203965,1
144014,0
395637,0
231125,0
160825,1
400963,1
286525,0
324006,0
272928,0
271956,0
101784,0
414988,0
421336,1
408895,1
318884,0
389403,1
97913,0
255964,1
152072,1
332205,0
168640,1
243623,0
257358,0
128590,0
174425,1
316456,1
92408,1
124870,0
13293,0
193540,0
384067,1
271516,1
49187,1
229814,1
231928,0
366091,0
397967,0
151003,1
111694,1
374248,1
125725,0
121929,1
337691,1
